(177 , 41 , 41),
(137 , 183 , 77),
(159 , 185 , 90),
(118 , 147 , 79),
(162 , 51 , 44),
(74 , 2 , 4),
(168 , 207 , 101),
(110 , 99 , 58),
(204 , 47 , 32),
(116 , 20 , 27),
(195 , 218 , 182),
(112 , 133 , 79),
(175 , 213 , 97),
(124 , 195 , 107),
(191 , 47 , 40),
(142 , 107 , 58),
(129 , 31 , 38),
(174 , 196 , 155),
(39 , 18 , 1),
(190 , 167 , 84),
(78 , 120 , 47),
(90 , 164 , 83),
(29 , 20 , 1),
(200 , 223 , 187),
(31 , 0 , 0),
(215 , 62 , 46),
(87 , 39 , 9),
(197 , 203 , 80),
(94 , 9 , 19),
(205 , 194 , 126),
(210 , 97 , 49),
(163 , 34 , 37),
