(98 , 128 , 81),
(121 , 146 , 94),
(75 , 107 , 78),
(101 , 82 , 73),
(168 , 74 , 62),
(90 , 146 , 56),
(90 , 66 , 57),
(190 , 197 , 190),
(122 , 161 , 118),
(142 , 172 , 144),
(226 , 188 , 32),
(104 , 93 , 90),
(77 , 79 , 65),
(143 , 65 , 50),
(178 , 81 , 69),
(127 , 117 , 108),
(98 , 103 , 83),
(199 , 212 , 213),
(82 , 103 , 54),
(89 , 156 , 163),
(151 , 168 , 168),
(119 , 110 , 116),
(96 , 161 , 64),
(224 , 96 , 82),
(95 , 139 , 69),
(166 , 86 , 74),
(76 , 126 , 122),
(62 , 68 , 66),
(77 , 113 , 62),
(155 , 141 , 138),
(121 , 130 , 106),
(195 , 180 , 174),
(233 , 195 , 53),
(79 , 149 , 160),
(47 , 49 , 43),
(51 , 127 , 131),
(149 , 177 , 158),
(45 , 22 , 15),
(51 , 64 , 64),
(142 , 186 , 187),
(157 , 83 , 72),
(215 , 180 , 32),
(229 , 241 , 224),
(105 , 45 , 28),
(212 , 100 , 83),
(24 , 66 , 57),
(85 , 179 , 193),
(193 , 180 , 156),
(55 , 59 , 56),
(230 , 193 , 44),
(202 , 72 , 53),
(113 , 126 , 117),
(158 , 177 , 180),
(179 , 118 , 106),
(144 , 131 , 133),
(86 , 150 , 115),
(131 , 138 , 124),
(243 , 222 , 223),
(211 , 183 , 56),
(90 , 153 , 138),
(35 , 12 , 4),
(84 , 92 , 90),
(172 , 65 , 49),
(198 , 96 , 81),
