(199 , 206 , 208),
(216 , 221 , 213),
(194 , 205 , 203),
(218 , 224 , 214),
(189 , 196 , 193),
(210 , 218 , 218),
(214 , 218 , 215),
(203 , 206 , 206),
(202 , 210 , 211),
(182 , 183 , 194),
(178 , 193 , 201),
(205 , 214 , 213),
(222 , 227 , 217),
(219 , 223 , 219),
(204 , 209 , 207),
(175 , 190 , 195),
(172 , 177 , 186),
(94 , 96 , 152),
(189 , 194 , 198),
(110 , 113 , 161),
(163 , 177 , 193),
(102 , 107 , 155),
(157 , 163 , 184),
(188 , 191 , 194),
(87 , 80 , 147),
(172 , 186 , 203),
(127 , 125 , 163),
(93 , 106 , 163),
(150 , 153 , 173),
(86 , 68 , 133),
(106 , 98 , 149),
(77 , 84 , 156),
(193 , 194 , 194),
(161 , 167 , 175),
(106 , 122 , 171),
(142 , 141 , 166),
(44 , 18 , 79),
(183 , 190 , 183),
(85 , 99 , 159),
(178 , 187 , 191),
(125 , 134 , 172),
(139 , 155 , 184),
(89 , 118 , 185),
(118 , 113 , 158),
(201 , 202 , 191),
(74 , 73 , 144),
(91 , 87 , 139),
(159 , 142 , 160),
(141 , 39 , 85),
(130 , 142 , 177),
(180 , 188 , 199),
(133 , 129 , 161),
(96 , 104 , 156),
(99 , 127 , 189),
(170 , 162 , 168),
(186 , 183 , 205),
(108 , 82 , 135),
(158 , 165 , 181),
(73 , 62 , 129),
(185 , 187 , 198),
(38 , 13 , 78),
(183 , 180 , 183),
(126 , 122 , 155),
(150 , 135 , 161),
(158 , 155 , 171),
(44 , 30 , 92),
(179 , 60 , 80),
(177 , 168 , 193),
(84 , 91 , 144),
(123 , 103 , 142),
(100 , 75 , 129),
(147 , 167 , 192),
(92 , 68 , 128),
(53 , 43 , 104),
(135 , 147 , 167),
(101 , 95 , 141),
(179 , 171 , 169),
(110 , 132 , 191),
(206 , 214 , 194),
(144 , 42 , 89),
(146 , 128 , 150),
(153 , 152 , 190),
(165 , 183 , 192),
(89 , 119 , 190),
(115 , 102 , 165),
(44 , 20 , 88),
(62 , 68 , 138),
(165 , 147 , 162),
(35 , 8 , 75),
(124 , 36 , 88),
(112 , 130 , 166),
(133 , 151 , 182),
(112 , 121 , 172),
(74 , 89 , 161),
(116 , 99 , 135),
(124 , 118 , 147),
(184 , 198 , 211),
(133 , 114 , 146),
(62 , 56 , 124),
(146 , 36 , 77),
(175 , 176 , 194),
(98 , 115 , 164),
(122 , 131 , 165),
(185 , 197 , 206),
(146 , 162 , 177),
(137 , 119 , 135),
(176 , 48 , 79),
(110 , 116 , 168),
(99 , 83 , 123),
(180 , 65 , 78),
(165 , 163 , 179),
(163 , 163 , 170),
(152 , 130 , 149),
(68 , 74 , 151),
(113 , 121 , 165),
(219 , 0 , 212),
(101 , 87 , 143),
(90 , 64 , 121),
(130 , 40 , 82),
(106 , 91 , 142),
(110 , 90 , 128),
(49 , 32 , 110),
(158 , 174 , 198),
(55 , 33 , 82),
(173 , 177 , 179),
(145 , 147 , 174),
(123 , 126 , 175),
(97 , 88 , 151),
(190 , 187 , 184),
(98 , 102 , 163),
(62 , 47 , 117),
(205 , 208 , 200),
(115 , 134 , 192),
(102 , 31 , 87),
(139 , 128 , 155),
(91 , 88 , 148),
(166 , 159 , 172),
(80 , 68 , 143),
(191 , 78 , 91),
(76 , 56 , 111),
(93 , 124 , 188),
(107 , 99 , 142),
(161 , 167 , 192),
(63 , 31 , 92),
(96 , 104 , 169),
(33 , 13 , 66),
(154 , 131 , 142),
(130 , 101 , 127),
(175 , 172 , 174),
(147 , 41 , 84),
(69 , 87 , 148),
