(85 , 37 , 35),
(152 , 197 , 204),
(191 , 215 , 206),
(104 , 70 , 47),
(82 , 18 , 38),
(151 , 182 , 184),
(110 , 45 , 37),
(209 , 235 , 218),
(124 , 87 , 55),
(67 , 31 , 15),
(129 , 182 , 194),
(61 , 43 , 33),
(128 , 120 , 85),
(89 , 85 , 60),
(123 , 190 , 193),
(135 , 159 , 153),
(176 , 162 , 83),
(116 , 73 , 44),
(140 , 217 , 218),
(100 , 106 , 109),
(112 , 142 , 137),
(176 , 185 , 198),
(144 , 117 , 71),
(175 , 209 , 206),
(113 , 17 , 25),
(89 , 65 , 79),
(67 , 62 , 42),
(130 , 72 , 80),
(144 , 155 , 102),
(177 , 149 , 61),
(90 , 43 , 41),
(71 , 19 , 34),
(88 , 19 , 7),
(163 , 212 , 211),
(153 , 166 , 172),
(128 , 115 , 50),
(193 , 227 , 215),
(112 , 186 , 188),
(123 , 48 , 34),
(106 , 129 , 73),
(139 , 134 , 122),
(108 , 46 , 51),
(67 , 18 , 7),
(154 , 169 , 126),
(221 , 237 , 214),
(114 , 80 , 58),
(48 , 54 , 18),
(180 , 210 , 178),
(108 , 91 , 105),
(144 , 192 , 181),
(147 , 166 , 153),
(186 , 158 , 71),
(135 , 191 , 191),
(126 , 94 , 33),
(108 , 115 , 145),
(88 , 71 , 93),
(176 , 143 , 51),
(181 , 176 , 91),
(143 , 191 , 134),
(139 , 139 , 95),
(100 , 146 , 163),
(127 , 95 , 67),
(60 , 3 , 4),
(91 , 103 , 86),
